partidoRepublicano 12
Juliana Cano
Sara Jáquez
Miguel Castro
Zoe Marin
Agustina Castro
Nicole González
Alessandra Estévez
Thiago Enríquez
Juan Parra
María Moreno
Salvino Ramos
Alano Genovese
Arlo Varela
Charro Sánchez
Noe Giménez
Fermin Cabrera
Evarado Lombardo
Tajo Gimenez
Godalupe Pisani
Montae Iadanza
Mario Jiménez
Malena Fernández
Carla Delgado
Pedro Gallardo
jojo joestar
partidoa 13
Juliana Cano
Sara Jáquez
Miguel Castro
Zoe Marin
Agustina Castro
Nicole González
Alessandra Estévez
Thiago Enríquez
Juan Parra
María Moreno
Salvino Ramos
Alano Genovese
Arlo Varela
Charro Sánchez
Noe Giménez
Fermin Cabrera
Evarado Lombardo
Tajo Gimenez
Godalupe Pisani
Montae Iadanza
Mario Jiménez
Malena Fernández
Carla Delgado
Pedro Gallardo
jojo joestar
partidob 14
Juliana Cano
Sara Jáquez
Miguel Castro
Zoe Marin
Agustina Castro
Nicole González
Alessandra Estévez
Thiago Enríquez
Juan Parra
María Moreno
Salvino Ramos
Alano Genovese
Arlo Varela
Charro Sánchez
Noe Giménez
Fermin Cabrera
Evarado Lombardo
Tajo Gimenez
Godalupe Pisani
Montae Iadanza
Mario Jiménez
Malena Fernández
Carla Delgado
Pedro Gallardo
jojo joestar
partidoc 15
Juliana Cano
Sara Jáquez
Miguel Castro
Zoe Marin
Agustina Castro
Nicole González
Alessandra Estévez
Thiago Enríquez
Juan Parra
María Moreno
Salvino Ramos
Alano Genovese
Arlo Varela
Charro Sánchez
Noe Giménez
Fermin Cabrera
Evarado Lombardo
Tajo Gimenez
Godalupe Pisani
Montae Iadanza
Mario Jiménez
Malena Fernández
Carla Delgado
Pedro Gallardo
jojo joestar
partidod 16
Juliana Cano
Sara Jáquez
Miguel Castro
Zoe Marin
Agustina Castro
Nicole González
Alessandra Estévez
Thiago Enríquez
Juan Parra
María Moreno
Salvino Ramos
Alano Genovese
Arlo Varela
Charro Sánchez
Noe Giménez
Fermin Cabrera
Evarado Lombardo
Tajo Gimenez
Godalupe Pisani
Montae Iadanza
Mario Jiménez
Malena Fernández
Carla Delgado
Pedro Gallardo
jojo joestar
partidoe 17
Juliana Cano
Sara Jáquez
Miguel Castro
Zoe Marin
Agustina Castro
Nicole González
Alessandra Estévez
Thiago Enríquez
Juan Parra
María Moreno
Salvino Ramos
Alano Genovese
Arlo Varela
Charro Sánchez
Noe Giménez
Fermin Cabrera
Evarado Lombardo
Tajo Gimenez
Godalupe Pisani
Montae Iadanza
Mario Jiménez
Malena Fernández
Carla Delgado
Pedro Gallardo
jojo joestar
partidof 18
Juliana Cano
Sara Jáquez
Miguel Castro
Zoe Marin
Agustina Castro
Nicole González
Alessandra Estévez
Thiago Enríquez
Juan Parra
María Moreno
Salvino Ramos
Alano Genovese
Arlo Varela
Charro Sánchez
Noe Giménez
Fermin Cabrera
Evarado Lombardo
Tajo Gimenez
Godalupe Pisani
Montae Iadanza
Mario Jiménez
Malena Fernández
Carla Delgado
Pedro Gallardo
jojo joestar
partidog 19
Juliana Cano
Sara Jáquez
Miguel Castro
Zoe Marin
Agustina Castro
Nicole González
Alessandra Estévez
Thiago Enríquez
Juan Parra
María Moreno
Salvino Ramos
Alano Genovese
Arlo Varela
Charro Sánchez
Noe Giménez
Fermin Cabrera
Evarado Lombardo
Tajo Gimenez
Godalupe Pisani
Montae Iadanza
Mario Jiménez
Malena Fernández
Carla Delgado
Pedro Gallardo
jojo joestar
partidoh 20
Juliana Cano
Sara Jáquez
Miguel Castro
Zoe Marin
Agustina Castro
Nicole González
Alessandra Estévez
Thiago Enríquez
Juan Parra
María Moreno
Salvino Ramos
Alano Genovese
Arlo Varela
Charro Sánchez
Noe Giménez
Fermin Cabrera
Evarado Lombardo
Tajo Gimenez
Godalupe Pisani
Montae Iadanza
Mario Jiménez
Malena Fernández
Carla Delgado
Pedro Gallardo
jojo joestar
